tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi;saldo anterior 
1676;9/01/2020;27/09/2020;21008;0;0;3992;65000;cash;;paid;676;8;25000;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;40000
1677;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;677;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1678;9/01/2020;27/09/2020;61008;0;0;3992;25000;;;due;678;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-40000
1679;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;679;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1680;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;680;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1681;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;681;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1682;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;682;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1683;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;683;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1684;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;684;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1685;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;685;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1686;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;686;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1687;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;687;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1688;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;688;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1689;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;689;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1690;9/01/2020;27/09/2020;61008;0;0;3992;110000;;;due;690;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;45000
1691;9/01/2020;27/09/2020;61008;0;0;3992;31446;;;due;691;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-33554
1692;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;692;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1693;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;693;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1694;9/01/2020;27/09/2020;51008;0;0;3992;130000;;;due;694;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;75000
1695;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;due;695;8;42333;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1696;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;696;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1697;9/01/2020;27/09/2020;61008;0;0;3992;124839;cash;;paid;697;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;59839
1698;9/01/2020;27/09/2020;101008;0;0;3992;95844;;;due;698;8;0;2;Yes;0;%;Yopal ;Television ;10Megas;0;no;Activo;0;-9156
1699;9/01/2020;27/09/2020;21008;0;0;3992;65000;;;due;699;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;40000
1700;9/01/2020;27/09/2020;51008;0;0;3992;105000;;;due;700;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;50000
1701;9/01/2020;27/09/2020;51008;0;0;3992;50000;;;due;701;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;-5000
1702;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;702;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1703;9/01/2020;27/09/2020;61008;0;0;3992;77500;;;due;703;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;12500
1704;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;704;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1705;9/01/2020;27/09/2020;101008;0;0;3992;65000;;;due;705;8;0;2;Yes;0;%;Yopal ;Television ;10Megas;0;no;Activo;0;-40000
1706;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;706;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1707;9/01/2020;27/09/2020;61008;0;0;3992;105000;;;due;707;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;40000
1708;9/01/2020;27/09/2020;21008;0;0;3992;130000;;;due;708;8;;2;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;105000
1709;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;709;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1710;9/01/2020;27/09/2020;61008;0;0;3992;50000;;;due;710;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-15000
1711;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;711;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1712;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;712;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1713;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;713;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1714;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;714;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1715;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;715;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1716;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;716;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1717;9/01/2020;27/09/2020;101008;0;0;3992;65000;;;due;717;8;0;2;Yes;0;%;Yopal ;Television ;10Megas;0;no;Activo;0;-40000
1718;9/01/2020;27/09/2020;61008;0;0;3992;130000;;;due;718;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;65000
